county ,fips ,cancer_incidence ,cancer_mortality ,uninsured ,obese ,drinking ,smoking ,food_index ,educational_attainment ,poverty
Aurora,46003,535.7,158.4,15.6,31,20,13,7.1,21.5,5.4
Beadle,46005,467.8,164.8,15.2,32,17,15,7.8,20.5,16.2
Bennett,46007,395,180.1,20.1,37,15,26,1.7,15.7,35.9
Bon Homme,46009,424.7,144.2,11.1,31,21,16,8.6,18.3,10.7
Brookings,46011,474.2,150.8,9.1,29,22,13,6.8,40.3,14.7
Brown,46013,447.1,155.6,10.5,33,18,15,8.1,29.4,10.5
Brule,46015,498.3,151.4,16.5,35,18,16,7.5,27.1,13.5
Buffalo,46017,495,295.9,18.9,39,16,37,0.1,8.5,39.7
Butte,46019,437.6,182.6,13.2,32,18,16,8.1,19.2,11.4
Campbell,46021,331,102.6,10.7,31,17,15,6,28,4
Charles Mix,46023,494.9,185.5,17,33,17,21,7.9,18.6,19
Clark,46025,479.2,152.1,13,29,19,15,7.3,19.1,9
Clay,46027,482.3,172.6,9.9,32,23,18,6.7,49.9,22.4
Codington,46029,474.3,168.7,8.9,31,20,16,7.8,21.5,12.9
Corson,46031,343.4,216.7,20.8,41,15,33,1.3,17.8,44.8
Custer,46033,369,140.3,12.3,32,17,14,8.2,23.5,13.8
Davison,46035,499,156.3,9.8,34,19,15,8,26.5,14.2
Day,46037,464.1,150.5,14.1,34,17,16,6.5,21.6,16.7
Deuel,46039,450.7,139.3,10.6,34,19,14,6.6,22.2,8.7
Dewey,46041,516.3,211.3,18.4,39,18,28,5.2,16.6,31.3
Douglas,46043,522.4,151.1,14.6,30,19,13,6.3,15.5,6.3
Edmunds,46045,492.9,134.7,10.7,28,18,14,7.3,26.3,4.7
Fall River,46047,483.2,184,11.1,30,16,14,7.2,21.1,14
Faulk,46049,489.9,138.8,11.1,30,17,14,6.8,26.9,14.7
Grant,46051,169.5,141.4,11.3,31,18,13,8.7,21.9,9.1
Gregory,46053,492.1,168.9,16.1,30,16,17,7.2,20.2,14.3
Haakon,46055,518.7,160.4,10.8,28,16,17,7.1,15.6,12.2
Hamlin,46057,453.7,145.8,9.7,30,20,14,6.1,21,5.7
Hand,46059,417.5,126.7,11.3,30,19,13,7.8,22.1,8.2
Hanson,46061,550.7,230.4,10.6,33,21,15,8.4,18.5,7.7
Harding,46063,280.6,75,11.5,33,20,16,5.7,26,7.1
Hughes,46065,496.3,150.5,10.2,31,20,14,8.4,34.7,11.2
Hutchinson,46067,465.8,135.3,12.3,30,18,14,8.6,25.2,9.6
Hyde,46069,496.4,128.2,12.6,33,18,14,7.2,24.5,10.5
Jackson,46071,379.6,173.6,21.9,34,17,26,4,17.8,45.4
Jerauld,46073,424.5,162.5,12.4,28,18,13,6.2,22.5,7.9
Jones,46075,434.1,150.1,13,29,18,14,5.5,25.7,12.4
Kingsbury,46077,619.5,177,10.1,31,19,14,7.6,21.5,8.2
Lake,46079,431.4,86.8,8.7,32,19,14,8.5,33.1,12.7
Lawrence,46081,400.3,149.7,10.8,27,20,16,8.1,35,12.7
Lincoln,46083,442.6,120,6.4,29,20,14,9.2,37.6,4.1
Lyman,46085,447.5,165.5,16.7,35,18,22,4.8,20.3,20.5
McCook,46087,398.6,164.1,11.8,31,19,14,8.2,24.1,9.7
McPherson,46089,539,214.2,12.1,29,16,15,5.8,17.7,13.8
Marshall,46091,398.6,102.2,15.8,34,19,15,6.9,24.1,8.5
Meade,46093,405.1,162,9.5,28,20,16,8,27.2,6.9
Mellette,46095,458.2,227.5,19.4,35,14,29,1.8,12,52.8
Miner,46097,497.5,193,10.4,30,18,14,8,18.5,6.8
Minnehaha,46099,521.2,173.8,9.8,30,20,16,8.3,33.1,10
Moody,46101,397.7,151.9,14.7,33,18,17,5.8,21.3,11.4
Oglala Lakota,46102,415.7,216.3,16.7,41,15,41,0,10.4,46.2
Pennington,46103,434,154.9,13.2,27,19,15,7.9,31.5,13.8
Perkins,46105,373.4,171.4,14.4,31,19,14,7,20.3,9.2
Potter,46107,486.3,137.9,9.7,27,17,13,5.9,22.3,7.5
Roberts,46109,396.6,176.6,17.3,32,18,21,7.3,17.3,20.1
Sanborn,46111,535.3,145.9,10.8,31,19,14,6.2,21.6,8.8
Spink,46115,490.9,151.7,10.9,33,19,15,7.6,21.8,9.9
Stanley,46117,497.3,169.4,10,34,20,14,8.7,32.1,4.7
Sully,46119,315,154.1,11.2,33,20,13,7.4,25,7.9
Todd,46121,428,234.3,18.7,38,16,39,5.1,15.6,55.5
Tripp,46123,433.3,143.8,16.9,31,17,17,7.3,22.3,19.5
Turner,46125,489.6,157.9,10,34,18,14,9,23.7,10.9
Union,46127,558.1,160.3,7,30,21,14,9,30.6,8.6
Walworth,46129,368.7,149.1,13.5,30,18,15,7.6,24.9,9.7
Yankton,46135,409.8,135.3,10.2,32,19,16,7.8,25.7,11.1
Ziebach,46137,201.1,105.2,21.2,45,16,32,4.6,16.4,42.5
